"","MMSI","LON","LAT"
"1020",367614790,-157.87819,21.31669
"1021",316005971,-84.40327,46.50183
"1022",366941830,-94.87103,29.37848
"1023",368084090,-90.27469,29.96587
"1024",316005971,-84.40324,46.50183
"1025",368118150,-122.33001,47.39792
"1026",366941830,-94.86815,29.37713
"1027",366941830,-94.87805,29.38037
"1028",316005971,-84.40323,46.50182
"1029",368084090,-90.29433,29.95884
"1030",368084090,-90.26182,29.96745
"1031",368084090,-90.27674,29.9653
"1032",338379253,-117.89592,33.61999
"1033",368084090,-90.25092,29.96804
"1034",367614790,-157.87819,21.31668
"1035",368084090,-90.26399,29.9673
"1036",316005971,-84.40326,46.50182
"1037",366941830,-94.88037,29.38072
"1038",368084090,-90.2925,29.95982
"1039",366941830,-94.8693,29.37667
"1040",316005971,-84.40323,46.50184
"1041",338379253,-117.89592,33.61999
"1042",316005971,-84.40326,46.50184
"1043",316005971,-84.40325,46.50181
"1044",368084090,-90.28358,29.96304
"1045",368118150,-122.33001,47.39789
"1046",368140160,-87.14431,30.33475
"1047",368118150,-122.32994,47.39796
"1048",316005971,-84.40323,46.50186
"1049",368084090,-90.25972,29.96776
"1050",368118150,-122.32995,47.39792
"1051",366941830,-94.86966,29.37616
"1052",367614790,-157.87819,21.31667
"1053",316005971,-84.40326,46.50182
"1054",368140160,-87.14431,30.33475
"1055",366863870,-72.35821,41.08756
"1056",368084090,-90.29963,29.9538
